reading_id,bin_id,ward,fill_pct,last_emptied,recorded_at
R001,BIN001,Ward 1,21,2026-07-20 08:00,2026-07-20 16:00
R002,BIN001,Ward 1,26,2026-07-20 08:00,2026-07-21 01:00
R003,BIN001,Ward 1,44,2026-07-20 08:00,2026-07-21 09:00
R004,BIN002,Ward 1,33,2026-07-22 08:00,2026-07-22 18:00
R005,BIN002,Ward 1,51,2026-07-22 08:00,2026-07-23 01:00
R006,BIN002,Ward 1,64,2026-07-22 08:00,2026-07-23 10:00
R007,BIN002,Ward 1,75,2026-07-22 08:00,2026-07-23 17:00
R008,BIN003,Ward 3,20,2026-07-21 08:00,2026-07-21 19:00
R009,BIN003,Ward 3,36,2026-07-21 08:00,2026-07-22 02:00
R010,BIN003,Ward 3,42,2026-07-21 08:00,2026-07-22 10:00
R011,BIN004,Ward 2,44,2026-07-18 08:00,2026-07-18 16:00
R012,BIN004,Ward 2,58,2026-07-18 08:00,2026-07-19 00:00
R013,BIN004,Ward 2,69,2026-07-18 08:00,2026-07-19 10:00
R014,BIN004,Ward 2,75,2026-07-18 08:00,2026-07-19 16:00
R015,BIN005,Ward 2,41,2026-07-18 08:00,2026-07-18 18:00
R016,BIN005,Ward 2,49,2026-07-18 08:00,2026-07-19 01:00
R017,BIN005,Ward 2,62,2026-07-18 08:00,2026-07-19 11:00
R018,BIN006,Ward 2,31,2026-07-20 08:00,2026-07-20 18:00
R019,BIN006,Ward 2,44,2026-07-20 08:00,2026-07-21 01:00
R020,BIN006,Ward 2,54,2026-07-20 08:00,2026-07-21 08:00
R021,BIN006,Ward 2,64,2026-07-20 08:00,2026-07-21 17:00
R022,BIN007,Ward 1,33,2026-07-20 08:00,2026-07-20 17:00
R023,BIN007,Ward 1,45,2026-07-20 08:00,2026-07-21 00:00
R024,BIN007,Ward 1,60,2026-07-20 08:00,2026-07-21 08:00
R025,BIN007,Ward 1,73,2026-07-20 08:00,2026-07-21 19:00
R026,BIN008,Ward 5,50,2026-07-23 08:00,2026-07-23 18:00
R027,BIN008,Ward 5,67,2026-07-23 08:00,2026-07-24 03:00
R028,BIN008,Ward 5,76,2026-07-23 08:00,2026-07-24 11:00
R029,BIN009,Ward 1,35,2026-07-21 08:00,2026-07-21 18:00
R030,BIN009,Ward 1,51,2026-07-21 08:00,2026-07-22 03:00
R031,BIN009,Ward 1,60,2026-07-21 08:00,2026-07-22 09:00
R032,BIN010,Ward 5,20,2026-07-19 08:00,2026-07-19 16:00
R033,BIN010,Ward 5,30,2026-07-19 08:00,2026-07-20 01:00
R034,BIN010,Ward 5,37,2026-07-19 08:00,2026-07-20 11:00
R035,BIN010,Ward 5,54,2026-07-19 08:00,2026-07-20 19:00
R036,BIN004,Ward 2,,2026-07-19 09:00,2026-07-24 07:40
R037,BIN007,Ward 1,178,2026-07-21 10:00,2026-07-24 07:55
R038,BIN009,Ward 1,50,2026-07-17 09:00,2026-07-23 08:00
R039,BIN009,Ward 1,50,2026-07-17 09:00,2026-07-23 14:00
R040,BIN009,Ward 1,50,2026-07-17 09:00,2026-07-23 20:00
R041,BIN009,Ward 1,50,2026-07-17 09:00,2026-07-24 02:00
R042,BIN010,Ward 5,37,2026-07-20 08:00,2026-07-21 04:00
